Game Date,Game Time,Visitor,Home,Arena,City,Notes
4/2/2025,7:30p,Miami Heat,Boston Celtics,TD Garden,Boston,
4/3/2025,7:00p,Orlando Magic,Washington Wizards,Capital One Arena,Washington DC,
4/3/2025,7:30p,Minnesota Timberwolves,Brooklyn Nets,Barclays Center,New York,
4/3/2025,7:30p,Milwaukee Bucks,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
4/4/2025,7:30p,Phoenix Suns,Boston Celtics,TD Garden,Boston,
4/5/2025,7:00p,Minnesota Timberwolves,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
4/6/2025,3:30p,Toronto Raptors,Brooklyn Nets,Barclays Center,New York,
4/6/2025,6:00p,Washington Wizards,Boston Celtics,TD Garden,Boston,
4/6/2025,7:00p,Phoenix Suns,New York Knicks,Madison Square Garden (IV),New York,
4/8/2025,7:30p,New Orleans Pelicans,Brooklyn Nets,Barclays Center,New York,
4/8/2025,7:30p,Boston Celtics,New York Knicks,Madison Square Garden (IV),New York,
4/9/2025,7:00p,Philadelphia 76ers,Washington Wizards,Capital One Arena,Washington DC,
4/10/2025,7:30p,Atlanta Hawks,Brooklyn Nets,Barclays Center,New York,
4/11/2025,7:00p,Atlanta Hawks,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
4/11/2025,7:30p,Charlotte Hornets,Boston Celtics,TD Garden,Boston,
4/11/2025,7:30p,Cleveland Cavaliers,New York Knicks,Madison Square Garden (IV),New York,
4/13/2025,1:00p,Charlotte Hornets,Boston Celtics,TD Garden,Boston,
4/13/2025,1:00p,New York Knicks,Brooklyn Nets,Barclays Center,New York,
4/13/2025,1:00p,Chicago Bulls,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
